source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,n_sources,n_primary_sources,n_references,references_stripped
P01100,Q9GZT4,FOS,SRR,True,True,False,True,True,False,3,CollecTRI:15681805;DoRothEA:15681805;TRRUST:15681805,CollecTRI;DoRothEA;JASPAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,15681805
P53539,P10145,FOSB,CXCL8,True,True,False,True,True,False,3,CollecTRI:20826776;DoRothEA:20826776;TRRUST:20826776,CollecTRI;CytReg_CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,20826776
P53539,P01137,FOSB,TGFB1,True,True,False,True,True,False,3,CollecTRI:10843986;DoRothEA:10843986;TRRUST:10843986,CollecTRI;CytReg_CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,10843986
P15407,Q15910,FOSL1,EZH2,True,True,False,True,True,False,3,CollecTRI:23116973;DoRothEA:23116973;TRRUST:23116973,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,23116973
P15407,P06756,FOSL1,ITGAV,True,False,True,True,False,True,3,CollecTRI:23319049;DoRothEA:23319049;TRRUST:23319049,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,23319049
P15407,P05106,FOSL1,ITGB3,True,False,True,True,False,True,3,CollecTRI:23319049;DoRothEA:23319049;TRRUST:23319049,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,23319049
P15407,P35247,FOSL1,SFTPD,True,True,False,True,True,False,3,CollecTRI:10915785;DoRothEA:10915785;TRRUST:10915785,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,10915785
P15408,P41182,FOSL2,BCL6,True,True,False,True,True,False,3,CollecTRI:22493372;DoRothEA:22493372;TRRUST:22493372,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,1,22493372
P15408,P38398,FOSL2,BRCA1,True,True,False,True,True,False,3,CollecTRI:17434164;CollecTRI:23339184;TRRUST:17434164,CollecTRI;DoRothEA;ENCODE-distal;IntAct_DoRothEA;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,4,2,17434164;23339184
P15408,P51679,FOSL2,CCR4,True,True,False,True,True,False,3,CollecTRI:18071306;CollecTRI:22493372;TRRUST:22493372,CollecTRI;DoRothEA;IntAct_DoRothEA;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,2,18071306;22493372
