rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
42,Response To Unfolded Protein (GO:0006986),0.0001811421903351466,30.994810586403737,267.0583626754283,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.004261154382169639,0,0,2.370472730969742,3
43,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.00018878040839008292,4.663793103448276,39.99168110868839,"['HSPA8', 'DNAJB1', 'CCND1', 'ID2', 'MYC', 'DNAJA3', 'NRIP1', 'PLK1', 'IKZF1', 'HSPA1A']",0.004337559150916324,0,0,2.3627545897246667,10
44,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),0.00020812376428870505,15.26510196229319,129.40803396501394,"['XBP1', 'SERPINE1', 'TLR4', 'CXCL2']",0.0045694728692720135,0,0,2.340133896903998,4
45,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.00020812376428870505,15.26510196229319,129.40803396501394,"['CD40', 'CCND1', 'SRC', 'TLR4']",0.0045694728692720135,0,0,2.340133896903998,4
46,Positive Regulation Of Angiogenesis (GO:0045766),0.00022210330303179846,14.998109640831759,126.16961693338719,"['CD40', 'XBP1', 'SERPINE1', 'HMOX1']",0.004770392682509063,0,0,2.321445869843009,4
47,Positive Regulation Of Protein Modification Process (GO:0031401),0.0002418296146603864,9.964646464646465,82.9783728271654,"['CCNA2', 'EGR1', 'CD40', 'CDKN1A', 'CCND1']",0.005083567218818336,0,0,2.2938314294947877,5
48,Positive Regulation Of miRNA Metabolic Process (GO:2000630),0.0002497855682645102,27.618871415356153,229.09599013803128,"['FOSL1', 'EGR1', 'MYC']",0.005141419613444501,0,0,2.288916950039453,3
49,Cellular Response To Lipopolysaccharide (GO:0071222),0.0002599994355607027,14.369565217391305,118.61833381941406,"['XBP1', 'SERPINE1', 'TLR4', 'CXCL2']",0.0052424375986525355,0,0,2.28046673028983,4
50,Negative Regulation Of Inclusion Body Assembly (GO:0090084),0.00027212309342677823,103.86458333333333,852.6509585567859,"['DNAJB1', 'HSPA1A']",0.005251324606608003,0,0,2.2797311353024634,2
51,Regulation Of Inclusion Body Assembly (GO:0090083),0.00027212309342677823,103.86458333333333,852.6509585567859,"['DNAJB1', 'HSPA1A']",0.005251324606608003,0,0,2.2797311353024634,2
52,Cellular Response To Starvation (GO:0009267),0.00027638550561094756,14.132573057733428,115.79826040976606,"['HSPA8', 'RRAGA', 'XBP1', 'CDKN1A']",0.005251324606608003,0,0,2.2797311353024634,4
53,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),0.0002819935856389243,7.462671406805485,60.997086780760995,"['NFKBIA', 'EGR1', 'ID2', 'MYC', 'TLR4', 'HSPA1A']",0.005256786087004853,0,0,2.2792796952516103,6
54,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),0.000315376219123607,25.404255319148938,204.80261014345277,"['CCNA2', 'CDKN1A', 'CCND1']",0.005665303718074976,0,0,2.2467768025617,3
55,Positive Regulation Of Chemokine Production (GO:0032722),0.000315376219123607,25.404255319148938,204.80261014345277,"['EGR1', 'HMOX1', 'TLR4']",0.005665303718074976,0,0,2.2467768025617,3
56,Regulation Of Cytoplasmic Transport (GO:1903649),0.000332063883264561,92.31944444444444,739.4956618223716,"['USP7', 'SRC']",0.00585855565473904,0,0,2.232209440038723,2
57,Positive Regulation Of Protein Phosphorylation (GO:0001934),0.00034012675588935475,7.196397941680961,57.47181709837462,"['CCNA2', 'CD40', 'CDKN1A', 'CCND1', 'SRC', 'PLK1']",0.005895530435415482,0,0,2.229477114265181,6
58,Cellular Response To Peptide (GO:1901653),0.0003712232496723555,23.962665596146127,189.27407269048402,"['XBP1', 'SRC', 'TLR4']",0.006176794527405354,0,0,2.209236845335164,3
59,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),0.0003712232496723555,23.962665596146127,189.27407269048402,"['CDKN1A', 'CCND1', 'PLK1']",0.006176794527405354,0,0,2.209236845335164,3
60,DNA Damage Response (GO:0006974),0.0003751089793970863,7.0606060606060606,55.69613615938291,"['CDKN1A', 'CCND1', 'POLE2', 'MYC', 'SFN', 'IER3']",0.006176794527405354,0,0,2.209236845335164,6
61,Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),0.0004330691157728682,22.675531914893618,175.61322428345238,"['HSPA8', 'SRC', 'KIF14']",0.006901165909412803,0,0,2.1610775316903124,3
62,Regulation Of miRNA Transcription (GO:1902893),0.0004330691157728682,22.675531914893618,175.61322428345238,"['FOSL1', 'EGR1', 'MYC']",0.006901165909412803,0,0,2.1610775316903124,3
63,Cytokine-Mediated Signaling Pathway (GO:0019221),0.00044534627568153733,8.685185185185185,67.02060748230939,"['NFKBIA', 'EGR1', 'RRAGA', 'SRC', 'CXCL2']",0.006984160640846966,0,0,2.155885780094143,5
64,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.00046723561076743346,4.494447215731576,34.46646357605892,"['NFKBIA', 'CCNA2', 'EGR1', 'CD40', 'XBP1', 'MYC', 'NRIP1', 'E2F2', 'TLR4']",0.007045183742413865,0,0,2.152107675758907,9
65,Response To UV-A (GO:0070141),0.00046942457388711873,75.52651515151516,578.8354329773197,"['CCND1', 'MMP1']",0.007045183742413865,0,0,2.152107675758907,2
66,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),0.0004777604359734098,21.891415994130593,167.39054801840658,"['XBP1', 'SRC', 'HSPA1A']",0.007045183742413865,0,0,2.152107675758907,3
67,Positive Regulation Of Interleukin-8 Production (GO:0032757),0.0004777604359734098,21.891415994130593,167.39054801840658,"['SERPINE1', 'TLR4', 'HSPA1A']",0.007045183742413865,0,0,2.152107675758907,3
68,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),0.0005220612351235411,11.877061469265367,89.76357233019593,"['NFKBIA', 'USP7', 'ID2', 'E2F2']",0.007521803473719719,0,0,2.1236780178152497,4
69,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),0.0005253081373346768,21.159574468085108,159.78706699627756,"['CDC20', 'CCND1', 'CDC25B']",0.007521803473719719,0,0,2.1236780178152497,3
70,Regulation Of Integrin Activation (GO:0033623),0.0005467878206419364,69.22916666666667,520.0114050756229,"['SRC', 'KIF14']",0.0077175195256319025,0,0,2.1125222630621336,2
71,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.0005612135893174545,4.842636392305266,36.24911401183009,"['DNAJB1', 'CCND1', 'ID2', 'MYC', 'DNAJA3', 'NRIP1', 'PLK1', 'HSPA1A']",0.007809563749938663,0,0,2.107373225570332,8
