rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
174,Receptor Mediated Mitophagy R-HSA-8934903,0.02472594881725805,45.21768707482993,167.3010120823387,['SRC'],0.0730475173629852,0,0,1.136394539673257,1
175,STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518,0.02472594881725805,45.21768707482993,167.3010120823387,['CDKN1A'],0.0730475173629852,0,0,1.136394539673257,1
176,CLEC7A (Dectin-1) Signaling R-HSA-5607764,0.025470075176232815,8.527920962199312,31.299610767204847,"['NFKBIA', 'SRC']",0.0743956433113693,0,0,1.1284524964599263,2
177,L1CAM Interactions R-HSA-373760,0.025470075176232815,8.527920962199312,31.299610767204847,"['HSPA8', 'SRC']",0.0743956433113693,0,0,1.1284524964599263,2
178,KEAP1-NFE2L2 Pathway R-HSA-9755511,0.025948961945953097,8.44047619047619,30.82144266223132,"['MYC', 'HMOX1']",0.07536861419133568,0,0,1.122809470061751,2
179,SUMOylation Of Immune Response Proteins R-HSA-4755510,0.027165344857992397,40.69387755102041,146.73452100035948,['NFKBIA'],0.07846080051163166,0,0,1.105347265209659,1
180,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,0.02740756305932927,8.188531353135314,29.45362550083794,"['NFKBIA', 'DUSP6']",0.07872061167596241,0,0,1.1039115400027424,2
181,PI3K/AKT Signaling In Cancer R-HSA-2219528,0.0283980432384044,8.028721682847896,28.593770697553435,"['CDKN1A', 'SRC']",0.08111485278593965,0,0,1.0908996156733,2
182,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",0.028898646186160913,7.951121794871795,28.178461808105727,"['SRC', 'IER3']",0.08164262337838903,0,0,1.0880830487813768,2
183,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.028898646186160913,7.951121794871795,28.178461808105727,"['CDC20', 'PLK1']",0.08164262337838903,0,0,1.0880830487813768,2
184,PECAM1 Interactions R-HSA-210990,0.029598761568907096,36.99257884972171,130.2147194065139,['SRC'],0.08183187021991961,0,0,1.0870775231620495,1
185,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,0.029598761568907096,36.99257884972171,130.2147194065139,['CASP10'],0.08183187021991961,0,0,1.0870775231620495,1
186,Glutathione Synthesis And Recycling R-HSA-174403,0.029598761568907096,36.99257884972171,130.2147194065139,['CHAC1'],0.08183187021991961,0,0,1.0870775231620495,1
187,p38MAPK Events R-HSA-171007,0.029598761568907096,36.99257884972171,130.2147194065139,['SRC'],0.08183187021991961,0,0,1.0870775231620495,1
188,Mitotic Spindle Checkpoint R-HSA-69618,0.03093634050099251,7.655092592592593,26.607752397672005,"['CDC20', 'PLK1']",0.08507493637772941,0,0,1.0701983670139499,2
189,Dissolution Of Fibrin Clot R-HSA-75205,0.03202621324876303,33.90816326530612,116.6847899929619,['SERPINE1'],0.085348207472219,0,0,1.0688055957337697,1
